"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"2","0.049460236","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"3","1.999738772","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"4","3.054691108","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"5","4.004475410","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"6","4.053457406","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"7","5.053462411","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"8","5.706809379","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x3977, seq=1/256, ttl=64 (reply in 9)"
"9","5.706955480","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x3977, seq=1/256, ttl=64 (request in 8)"
"10","6.009023287","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"11","6.708303282","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x3977, seq=2/512, ttl=64 (reply in 12)"
"12","6.708434380","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x3977, seq=2/512, ttl=64 (request in 11)"
"13","7.707305585","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x3977, seq=3/768, ttl=64 (reply in 14)"
"14","7.707516934","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x3977, seq=3/768, ttl=64 (request in 13)"
"15","8.018888909","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"16","8.019414493","Cisco_d4:1c:03","Cisco_d4:1c:03","LOOP","60","Reply"
"17","8.058128065","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"18","8.706307753","172.16.40.1","172.16.40.254","ICMP","98","Echo (ping) request  id=0x3977, seq=4/1024, ttl=64 (reply in 19)"
"19","8.706466209","172.16.40.254","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x3977, seq=4/1024, ttl=64 (request in 18)"
