"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"2","0.996584493","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"3","1.106235095","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"4","1.996579067","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"5","2.904871285","Cisco_d4:1c:03","CDP/VTP/DTP/PAgP/UDLD","CDP","432","Device ID: tux-sw4  Port ID: FastEthernet0/1  "
"6","3.105856338","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"7","4.917796297","Cisco_d4:1c:03","Cisco_d4:1c:03","LOOP","60","Reply"
"8","5.005751474","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"9","5.110733478","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"10","6.004581752","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"11","7.004578732","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"12","7.120704208","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"13","9.120445291","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"14","10.010862651","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"15","11.008579891","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"16","11.125215388","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"17","12.008578135","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"18","13.135067998","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"19","14.925137053","Cisco_d4:1c:03","Cisco_d4:1c:03","LOOP","60","Reply"
"20","15.015990867","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"21","15.134943246","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"22","16.012581490","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"23","17.012579016","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"24","17.139707152","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"25","17.529094346","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=1/256, ttl=64 (no response found!)"
"26","18.529278399","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=2/512, ttl=64 (no response found!)"
"27","19.144414613","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"28","19.528622231","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=3/768, ttl=64 (no response found!)"
"29","20.021124851","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"30","20.528622003","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=4/1024, ttl=64 (no response found!)"
"31","21.020579565","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"32","21.149337241","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"33","21.528609499","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=5/1280, ttl=64 (no response found!)"
"34","22.020581448","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"35","22.528620093","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=6/1536, ttl=64 (no response found!)"
"36","23.154153709","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"37","23.528229319","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=7/1792, ttl=64 (no response found!)"
"38","24.534685975","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=8/2048, ttl=64 (no response found!)"
"39","24.924255129","Cisco_d4:1c:03","Cisco_d4:1c:03","LOOP","60","Reply"
"40","25.026847889","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"41","25.164071377","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"42","25.542727354","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=9/2304, ttl=64 (no response found!)"
"43","26.024585069","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"44","26.551869660","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=10/2560, ttl=64 (no response found!)"
"45","27.024576219","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"46","27.163830956","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"47","27.305363778","fe80::20f:feff:fe8c:afaf","ff02::fb","MDNS","180","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"48","27.305458621","172.16.1.41","224.0.0.251","MDNS","160","Standard query 0x0000 PTR _ftp._tcp.local, ""QM"" question PTR _nfs._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _sftp-ssh._tcp.local, ""QM"" question PTR _webdavs._tcp.local, ""QM"" question PTR _webdav._tcp.local, ""QM"" question"
"49","27.558689324","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=11/2816, ttl=64 (no response found!)"
"50","28.558268134","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=12/3072, ttl=64 (no response found!)"
"51","29.168641198","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"52","29.566704645","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=13/3328, ttl=64 (no response found!)"
"53","30.028325957","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"54","30.574699703","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=14/3584, ttl=64 (no response found!)"
"55","31.024582400","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"56","31.178504374","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"57","31.582685828","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=15/3840, ttl=64 (no response found!)"
"58","32.024582658","G-ProCom_8c:af:af","Broadcast","ARP","42","Who has 172.16.1.1? Tell 172.16.1.41"
"59","32.590708811","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=16/4096, ttl=64 (no response found!)"
"60","33.178265548","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"61","33.590316623","172.16.40.1","172.16.40.255","ICMP","98","Echo (ping) request  id=0x3a29, seq=17/4352, ttl=64 (no response found!)"
