"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"2","2.000474990","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"3","4.004750325","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"4","4.801259085","Cisco_d4:1c:06","CDP/VTP/DTP/PAgP/UDLD","CDP","450","Device ID: tux-sw4  Port ID: FastEthernet0/4  "
"5","6.014736581","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"6","7.259548857","Cisco_d4:1c:06","Cisco_d4:1c:06","LOOP","60","Reply"
"7","8.014680289","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"8","10.024426081","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"9","12.024431110","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"10","14.029364139","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"11","16.034147080","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"12","17.059480818","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) request  id=0x32e7, seq=1/256, ttl=64 (reply in 13)"
"13","17.059661288","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x32e7, seq=1/256, ttl=63 (request in 12)"
"14","17.267157856","Cisco_d4:1c:06","Cisco_d4:1c:06","LOOP","60","Reply"
"15","18.039149881","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"16","18.058516310","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) request  id=0x32e7, seq=2/512, ttl=64 (reply in 17)"
"17","18.058656132","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x32e7, seq=2/512, ttl=63 (request in 16)"
"18","19.057739396","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) request  id=0x32e7, seq=3/768, ttl=64 (reply in 19)"
"19","19.057889974","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x32e7, seq=3/768, ttl=63 (request in 18)"
"20","20.044211069","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"21","20.057776621","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) request  id=0x32e7, seq=4/1024, ttl=64 (reply in 22)"
"22","20.057913510","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x32e7, seq=4/1024, ttl=63 (request in 21)"
"23","21.057816920","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) request  id=0x32e7, seq=5/1280, ttl=64 (reply in 24)"
"24","21.057967078","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) reply    id=0x32e7, seq=5/1280, ttl=63 (request in 23)"
"25","22.048899445","Cisco_d4:1c:06","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8006"
"26","22.057867555","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) request  id=0x32e7, seq=6/1536, ttl=64 (reply in 27)"
