"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"2","0.730150889","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"3","2.005001670","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"4","4.009837746","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"5","6.014642114","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"6","8.019538044","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"7","10.024441307","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"8","10.738510462","Cisco_d4:1c:04","Cisco_d4:1c:04","LOOP","60","Reply"
"9","12.029321313","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"10","13.025055501","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=1/256, ttl=64 (reply in 12)"
"11","13.025493337","172.16.41.254","172.16.41.1","ICMP","70","Redirect             (Redirect for host)"
"12","13.025928658","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=1/256, ttl=63 (request in 10)"
"13","14.034228837","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"14","14.039293730","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=2/512, ttl=64 (reply in 15)"
"15","14.039734917","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=2/512, ttl=63 (request in 14)"
"16","15.063236549","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=3/768, ttl=64 (reply in 17)"
"17","15.063663489","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=3/768, ttl=63 (request in 16)"
"18","16.039152214","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"19","16.087233985","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=4/1024, ttl=64 (reply in 20)"
"20","16.087683903","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=4/1024, ttl=63 (request in 19)"
"21","17.111231630","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=5/1280, ttl=64 (reply in 22)"
"22","17.111689440","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=5/1280, ttl=63 (request in 21)"
"23","18.044018531","Cisco_d4:1c:04","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/41/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8004"
"24","18.053333828","Kye_25:1a:f4","HewlettP_d7:45:c4","ARP","60","Who has 172.16.41.1? Tell 172.16.41.253"
"25","18.053350101","HewlettP_d7:45:c4","Kye_25:1a:f4","ARP","42","172.16.41.1 is at 00:1f:29:d7:45:c4"
"26","18.103191733","HewlettP_d7:45:c4","Cisco_e3:df:10","ARP","42","Who has 172.16.41.254? Tell 172.16.41.1"
"27","18.103551067","Cisco_e3:df:10","HewlettP_d7:45:c4","ARP","60","172.16.41.254 is at 68:ef:bd:e3:df:10"
"28","18.135221104","172.16.41.1","172.16.40.1","ICMP","98","Echo (ping) request  id=0x75d2, seq=6/1536, ttl=64 (reply in 29)"
"29","18.135636870","172.16.40.1","172.16.41.1","ICMP","98","Echo (ping) reply    id=0x75d2, seq=6/1536, ttl=63 (request in 28)"
"30","19.127195874","HewlettP_d7:45:c4","Kye_25:1a:f4","ARP","42","Who has 172.16.41.253? Tell 172.16.41.1"
"31","19.127293023","Kye_25:1a:f4","HewlettP_d7:45:c4","ARP","60","172.16.41.253 is at 00:c0:df:25:1a:f4"
