"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Cisco_d4:1c:03","Cisco_d4:1c:03","LOOP","60","Reply"
"2","0.426736305","172.16.40.1","172.16.1.1","DNS","81","Standard query 0x3c31 AAAA tux41.netlab.fe.up.pt"
"3","0.428216705","172.16.1.1","172.16.40.1","DNS","141","Standard query response 0x3c31 AAAA tux41.netlab.fe.up.pt SOA ns.netlab.fe.up.pt"
"4","0.428299123","172.16.40.1","172.16.1.1","DNS","65","Standard query 0x5ada AAAA tux41"
"5","0.429403032","172.16.1.1","172.16.40.1","DNS","140","Standard query response 0x5ada No such name AAAA tux41 SOA a.root-servers.net"
"6","0.452717999","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"7","0.635161258","172.16.40.1","172.16.1.1","DNS","81","Standard query 0x9801 AAAA tux41.netlab.fe.up.pt"
"8","0.636487338","172.16.1.1","172.16.40.1","DNS","141","Standard query response 0x9801 AAAA tux41.netlab.fe.up.pt SOA ns.netlab.fe.up.pt"
"9","0.636568769","172.16.40.1","172.16.1.1","DNS","65","Standard query 0xde60 AAAA tux41"
"10","0.637735011","172.16.1.1","172.16.40.1","DNS","140","Standard query response 0xde60 No such name AAAA tux41 SOA a.root-servers.net"
"11","2.457456393","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"12","4.462298459","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"13","5.439490349","G-ProCom_8c:af:af","HewlettP_5a:7b:ea","ARP","42","Who has 172.16.40.254? Tell 172.16.40.1"
"14","5.439838393","HewlettP_5a:7b:ea","G-ProCom_8c:af:af","ARP","60","172.16.40.254 is at 00:21:5a:5a:7b:ea"
"15","5.616946039","HewlettP_5a:7b:ea","G-ProCom_8c:af:af","ARP","60","Who has 172.16.40.1? Tell 172.16.40.254"
"16","5.616971252","G-ProCom_8c:af:af","HewlettP_5a:7b:ea","ARP","42","172.16.40.1 is at 00:0f:fe:8c:af:af"
"17","6.467367525","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"18","8.472043839","Cisco_d4:1c:03","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/40/30:37:a6:d4:1c:00  Cost = 0  Port = 0x8003"
"19","9.508792060","172.16.40.1","172.16.1.1","DNS","69","Standard query 0x7f49 A ftp.up.pt"
"20","9.510508804","172.16.1.1","172.16.40.1","DNS","355","Standard query response 0x7f49 A ftp.up.pt CNAME mirrors.up.pt A 193.137.29.15 NS ns4.up.pt NS ns1.up.pt NS ns2.up.pt NS ns3.up.pt A 193.137.55.30 AAAA 2001:690:2200:a10::30 A 193.137.55.31 AAAA 2001:690:2200:a10::31 A 193.137.55.32 AAAA 2001:690:2200:a10::32 A 193.137.55.33 AAAA 2001:690:2200:a10::33"
"21","9.510653946","172.16.40.1","193.137.29.15","TCP","74","60735  >  21 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=1466577 TSecr=0 WS=128"
"22","9.514130102","193.137.29.15","172.16.40.1","TCP","74","21  >  60735 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1380 SACK_PERM=1 TSval=798857767 TSecr=1466577 WS=128"
